Establecimiento;Tipo;Categoria;EdificioSituacion;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;UnidadesAlojativas;Plazas;Telefonos;Telefax;Email;Url
ABAMA GOLF & SPA RESORT;HOTEL;5 ESTRELLAS LUJO;;CTRA. GENERAL TF-47  KM.9 (URB. CLUB DE CAMPO ABAMA);0;38687;0;0;0;GUIA DE ISORA;479;962;922746000;922126100;;www.abamahotelresort.com
ABINQUE-ISLA BONITA;HOTEL;4 ESTRELLAS;Playa;AVDA. BRUSELAS (PLAYA FAÑABE);8;38670;0;0;0;ADEJE;439;1317;922713012;922712492;direccionib@hotelsislabonita.com;www.hotelsislabonita.com
ACHACAY, LA;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);C/ LA VERA, 18 ;0;38570;0;0;0;FASNIA;3;4;922700108;;;
ACOROMA;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);LOMO DE ACOROMA, 26 ;0;38520;0;0;0;CANDELARIA;1;3;629862201;922513425;villacoroma@yahoo.es;
ACUARIO;HOTEL;2 ESTRELLAS;Ciudad;PARQUE LAS FLORES, 36 ;0;38400;0;0;0;PUERTO DE LA CRUZ;31;58;922 374142;922 380450;dir.acuario@hotelesglogales.com;www.hotelesglobales.com
ADELANTADO, EL;CASA RURAL;CATEGORIA ÚNICA;;C/ EL ADELANTADO, 16 ;0;38350;0;0;0;TACORONTE;4;10;922571994;922241010;info@casaruraleladelantado.com;www.casaruraleladelantado.com
ADELFAS, LAS;APARTAMENTO;1 LLAVE;Urbanización;GOLF DEL SUR, URB. EL GUINCHO;0;38620;0;0;0;SAN MIGUEL;45;175;922738316;922738444;info@adelfas.com;www.adelfas.com
ADONIS CAPITAL;HOTEL;2 ESTRELLAS;Ciudad;C/. CRUZ VERDE, 24 ;0;38003;0;0;0;SANTA CRUZ DE TENERIFE;45;69;922284601;922279938;vfumero@adonisresorts.com;
AEROPUERTO SUR;HOTEL;3 ESTRELLAS;Barrio;AVDA. SANTA CRUZ;17;38611;0;0;0;GRANADILLA DE ABONA;94;161;922390036/922390276;922390156;comercial@hotel-monicasur.com;www.hotel-monicasur.com
AGUAMAR;APARTAMENTO;3 LLAVES;;ALBANY, S/N.;0;38650;0;0;0;ARONA;140;430;922794407;922794457;administracion@apartamentosaguamar.com;www.apartamentosaguamar.com
AGUAMARINA;APARTAMENTO;3 LLAVES;Urbanización;PARCELA H-2 EL GUINCHO, URB.;0;38000;0;0;0;SAN MIGUEL;160;320;922/708090;922/708093;;
AGUAMARINA GOLF;HOTEL;4 ESTRELLAS;;AVDA. DEL ATLANTICO, 3 (URB. GOLF DEL SUR);0;38620;0;0;0;SAN MIGUEL;199;388;922738999;922738417;info@aguamarinagolf.com;www.gemahoteles.com
AGUERE;HOTEL;1 ESTRELLA;;c/ Obispo Rey Redondo, 55;0;38201;0;0;0;LA LAGUNA;31;47;922259490;922631633;;
AGUILAS , LAS;HOTEL;4 ESTRELLAS;;C/. DR. BARAJAS;19;38400;0;0;0;PUERTO DE LA CRUZ;220;460;922383200;;;
ALBATROS DANSK FOLKE-FERIE;APARTAMENTO;1 LLAVE;Urbanización;EL JABLE, 42 URB. CALLAO SALVAJE;0;38678;0;0;0;ADEJE;28;68;922740023;922740512;info@atlantic-holiday.com;www.atlantic-holiday.com
ALBORADA;APARTAMENTO;3 LLAVES;Playa;URB. TEN-BEL ;0;38640;0;0;0;ARONA;305;927;922731920/730637;922732314;tenbel@tenbel.com;www.tenbel.com
ALCALA;PENSIÓN;1 ESTRELLA;;MARRUECOS, 2 ;0;38686;0;0;0;GUIA DE ISORA;22;31;922865457;922865457;;
ALENES DEL MAR, LOS;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);CMNO. DE LOS ALENES, Nº4;0;38429;0;0;0;SAN JUAN DE LA RAMBLA;3;6;669131707;;;
ALFOMAR;HOTEL;1 ESTRELLA;;LA PEÑITA, 6 ;0;38400;0;0;0;PUERTO DE LA CRUZ;25;44;922380682;922380682;hotelalfomar@terra.es;
ALHAMBRA;HOTEL;2 ESTRELLAS;;C/. NICANDRO GONZALEZ BORGES;19;38300;0;0;0;LA OROTAVA;5;10;922320434;922323433;alhambra@hotellaorotava.com;www.alhambra@teneriffa.com/www.hotellaorotava.com
ALISIOS, LOS;APARTAMENTO;3 LLAVES;;CTRA. LOS CRISTIANOS-GUAZA, S/N. (URB. LOS ALISIOS) SOMADA DE LOS ERES ;0;38640;0;0;0;ARONA;81;258;922790180;922788316;info@coral-hotels.com;www.coal-hotels.com
ALJIBE, EL;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);CTRA. TACORONTE A TEJINA, Nº135-G, POLIG.5, PARCELA 97.;0;38350;0;0;0;TACORONTE;2;5;922560429-639874656;;jferlop@hotmail.com;
ALONDRAS PARK;APARTAMENTO;2 LLAVES;Playa;JOSE TAVIO, AVDA., S/N ;0;38660;0;0;0;ARONA;77;277;922785913/731315;922730337;daniel@alondras.com;www.alondras.com
ALTA MONTAÑA;HOTEL URBANO;3 ESTRELLAS;Ciudad;C/. MORRO DEL CANO;1;38613;0;0;0;VILAFLOR;15;32;922709000;922709293;summitclub@jazzfree.com;
ALTAMAR;BUNGALOWS;2 LLAVES;;ARQUITECTO GOMEZ CUESTA, 8 ;0;38000;0;0;0;ARONA;49;253;922790000;;;
ALTAMIRA;APARTAMENTO;3 LLAVES;Playa;URB. EL BERIL, S/N. (EDIFICIO ALTAMIRA);0;38679;0;0;0;ADEJE;142;504;922719046;922719160;altamira@jovima-hotels.com;www.hovima-hotels.com.
ANA MARIA;APARTAMENTO;1 LLAVE;;RAMON PINO, 17 ;0;38000;0;0;0;ARONA;5;20;922795045;;;
ANAGA;HOTEL;2 ESTRELLAS;;C/. IMELDO SERIS, 19 ESQ. C/. CRUZ VERDE, 7;0;38003;0;0;0;SANTA CRUZ DE TENERIFE;126;198;922245090/922245091;922245644;hotelanaga@yahoo.es;
ANDORRA;APARTAMENTO;2 LLAVES;Playa;ANTONIO DOMINGUEZ, 10;0;38660;0;0;0;ARONA;59;185;922793407;922752437;direccion andorra@telefonica.net;ww.hotelandorratenerife.com
ANDORRA III;HOTEL;3 ESTRELLAS;Playa;ANTONIO DOMINGUEZ, 10;0;38660;0;0;0;ARONA;101;303;922793407;922752437;direccionandorra@telefonica.net;hotelandorratenerife.com
ANDREA'S;HOTEL;2 ESTRELLAS;;VALLE MENENDEZ, AVDA., S/N;0;38600;0;0;0;ARONA;42;78;922790012;922794270;hotelandreas@hotelesreveron.com;www.hotelesreveron.com
ANGELES;PENSIÓN;1 ESTRELLA;;MEQUINEZ, 98 ;0;38400;0;0;0;PUERTO DE LA CRUZ;9;9;922372432;;;
ANGELES, LOS;PENSIÓN;1 ESTRELLA;Ciudad;C/. JUAN DE VERA;37;38200;0;0;0;LA LAGUNA;14;15;;;;
ARENAS DEL MAR;HOTEL;4 ESTRELLAS;;AVDA. EUROPA , 2;0;38612;0;0;0;GRANADILLA DE ABONA;155;320;922178661;922176114;clv@aaleman.e.telefonica.net;
ARGELIA;CASA RURAL;CATEGORIA ÚNICA;Barrio;C/ LA ESPERANZA, 8 (LAS VEGAS);0;38600;0;0;0;GRANADILLA DE ABONA;0;0;922660389;;;
ARONA GRAN HOTEL;HOTEL;4 ESTRELLAS;;JUAN CARLOS I, núm. 28, AVDA. ;0;38650;0;0;0;ARONA;391;776;922750678;922750243;www.arona@springhoteles.com;www.springhoteles.com
AROSA;PENSIÓN;2 ESTRELLAS;;IRIARTE, 21 ;0;38400;0;0;0;PUERTO DE LA CRUZ;24;41;922384237;;;
