Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;Plazas
SOL DE INVIERNO-AL BARITO;CAFETERIA;C/. DOCTOR JOSE NAVEIRAS, 2 (PZA. FERNANDO PESSOA);0;38001;0;0;0;SANTA CRUZ DE TENERIFE;0
...DONDE CANDE;BAR-CAFETERIA;C/ EL MEDIO ARRIBA, 3;3;38410;0;0;0;LOS REALEJOS;25
¡¡¡ÑOO QUE RICO!!!;TASCA;MARITIMA, AVDA. EDF. GUAYRA;0;38530;0;0;0;CANDELARIA;0
1/2 BARRIL;BAR;NUEVA, 27 ;0;38280;0;0;0;TEGUESTE;24
10%;RESTAURANTE;C/. REAL, 171 ;0;38370;0;0;0;LA MATANZA DE ACENTEJO;72
10 AÑOS;RESTAURANTE;C/ GUIA, 47;0;38370;0;0;0;LA MATANZA DE ACENTEJO;50
100 % NATURAL;CAFETERIA;ROQUE DE JAMA, 2 (EDIF. GARAJONAY II, L-5);0;38650;331228;3104653;58;ARONA;43
100 AROMAS;CAFETERIA;AVDA. LOS SABANDEÑOS (EDIF. MARTE, L-4);0;38650;331474;3104414;20;ARONA;48
100 MONTADITOS;BAR-CAFETERIA;C/. OBISPO REY REDONDO, 16;0;38201;0;0;0;LA LAGUNA;50
1000 MILLAS (1000 MIGLIA);CAFETERIA;SUN BEACH, L-F9 C.C.  ;0;38660;0;0;0;ADEJE;32
12 DE MAYO;BAR;EL MEDIO DE ARRIBA, 53 ;0;38410;0;0;0;LOS REALEJOS;0
18 DE JULIO;RESTAURANTE;PASAJE DE SITJA, 20 ;0;38004;0;0;0;SANTA CRUZ DE TENERIFE;15
18 DE JULIO;BAR;18 DE JULIO, 49 ;0;38004;0;0;0;SANTA CRUZ DE TENERIFE;12
1892 CLUB CAFE;CAFETERIA;GENERAL FRANCO, 24 (EDIF. REVERON, L-25) ;0;38650;0;0;0;ARONA;70
1960;RESTAURANTE;EL HIERRO, 10 VILLA ISABEL ;0;38000;0;0;0;ARONA;50
1970;BAR;LA MARINA, 17 ;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;10
19TH HOLE (HOYO 19);RESTAURANTE;COMPOSTELA BEACH APTOS. (GOLF II) ;0;38660;0;0;0;ARONA;132
1-X-2;BAR;LA ENTRADA, 1 ;0;38680;0;0;0;GUIA DE ISORA;0
2 PAC;BAR;AGRUPACION BINCHENY, L-1;0;38108;0;0;0;LA LAGUNA;28
20 PA-K;CAFETERIA;AVDA. CRISTOBAL BARRIOS, 3 ;0;38440;0;0;0;LA GUANCHA;42
2000;RESTAURANTE;LA PAZ, URB. (EDIF. AGAVE II);0;38400;0;0;0;PUERTO DE LA CRUZ;65
2000 SUR;BAR;VIA ENLACE LAS AMERICAS-LOS CRISTIANOS ;0;38640;0;0;0;ARONA;40
2001;BAR;CTRA. GENERAL DEL SUR KM. 6 ;0;38000;0;0;0;LA LAGUNA;0
20PAK;CAFE;LANZAROTE, 1 (EDIF. ANYI) ;0;38410;344788;3140903;280;LOS REALEJOS;60
25 DE JULIO;BAR;TEGUESTE, 17 ;0;38008;0;0;0;SANTA CRUZ DE TENERIFE;0
39;RESTAURANTE;C/. SANTA FE, S/N. (C.C. EL MIRADOR, L-19/20);0;38650;0;0;0;ARONA;104
4 CAMINOS;RESTAURANTE;IGLESIA PZA. ;0;38000;0;0;0;ARONA;20
4 HERMANOS, LOS;RESTAURANTE;GENERAL DEL SUR,KM.9.5 CTRA.;0;38108;0;0;0;SANTA CRUZ DE TENERIFE;46
4 X 4;BAR;POBLADO MARINERO, L-44 ;0;38683;0;0;0;SANTIAGO DEL TEIDE;16
4D;HELADERIA;MERIDIANO, L-0/9 C.C. (NIVEL OCIO);0;38005;0;0;0;SANTA CRUZ DE TENERIFE;0
4D;HELADERIA;C/. GENERAL FRANCO, 33B;0;38650;0;0;0;ARONA;0
5 SPORTS CHAYOFA;BAR-CAFETERIA;EDF. CHAYOFA COUNTRY CLUB S/N;0;38627;0;0;0;ARONA;0
69;BAR;EL CARDONAL BQ. 69 ;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;0
7 ESTRELLAS, LAS;AREPERA;GENERALISIMO, 12. AVDA (EDIF. VENEZUELA, L-BAJO A);0;38530;0;0;0;CANDELARIA;0
7 ISLAS;BAR;CTRA. GENERAL LA VICTORIA, 152 ;0;38000;0;0;0;LA VICTORIA DE ACENTEJO;0
7 ISLAS;CAFETERIA;C/. EMILIO CALZADILLA, 10, PUERTA 6;0;38002;0;0;0;SANTA CRUZ DE TENERIFE;20
7 ISLAS;BAR;CTRA. GENERAL EL SOBRADILLO, 90 ;0;38108;0;0;0;SANTA CRUZ DE TENERIFE;25
7 ISLAS;CERVECERIA;HERACLIO SANCHEZ, 27;0;38204;0;0;0;LA LAGUNA;72
7 ISLAS;BAR;ARICO EL BUENO, 7 ;0;38000;0;0;0;ARICO;0
7 ISLAS;BAR;CTRA. GENERAL CASCO ;0;38436;0;0;0;SANTIAGO DEL TEIDE;0
7 VIES;BAR-CAFETERIA;C/ SAN AGUSTIN, 11;0;38201;0;0;0;LA LAGUNA;0
8 DE AGOSTO;BAR;AVDA. 8 DE AGOSTO, 10;0;38440;0;0;0;LA GUANCHA;35
8ª ISLA;BAR;ALFREDO TORRES EDWARDS, 44 L-24;0;38205;0;0;0;LA LAGUNA;0
9TH HOLE;BAR-CAFETERIA;URB. AMARILLA GOLF - EDIF. FAIRWAY, L-401;0;38620;0;0;0;SAN MIGUEL;35
A CASA GALEGA (LA CASA GALLEGA);RESTAURANTE;C/. PUERTO VIEJO, 18 BAJO;0;38400;0;0;0;PUERTO DE LA CRUZ;40
A COMER;BUFFETT;POL. IND. GÜIMAR, MANZANA 5, PARCELA 43;0;38530;365787;3134825;27;ARAFO;51
A MI MANERA;BAR;PUNTA PRIETA ;0;38000;0;0;0;GÜIMAR;0
A RADIO;BAR;LA PIEDAD, 8;0;38000;0;0;0;LA OROTAVA;0
A SAUDADE ( DULCE AÑORANZA);SALA DE FIESTAS;C/. FERNANDO AROZENA QUINTERO, 3;0;38009;0;0;0;SANTA CRUZ DE TENERIFE;920
